500 25000
364 132 474
461 197 138
124 464 139
213 241 69
75 352 790
412 135 300
241 18 418
460 127 17
415 356 447
241 318 645
231 442 961
370 7 54
440 82 906
82 347 542
382 74 223
68 167 241
338 127 868
355 119 860
171 386 717
118 127 887
263 359 181
225 81 540
279 373 975
186 456 822
80 338 748
303 258 916
397 449 895
478 327 253
47 446 381
286 61 592
319 286 673
359 418 399
334 104 855
156 36 45
257 339 656
25 88 105
420 206 761
287 36 89
41 435 887
366 40 87
290 86 961
497 94 997
199 376 777
156 297 335
417 84 723
358 477 658
245 251 379
46 117 771
133 361 22
490 151 108
451 1 203
448 396 406
488 447 283
117 103 432
452 20 868
27 231 846
185 328 97
416 374 567
62 349 931
22 300 432
225 100 828
484 89 127
267 58 730
51 363 103
419 390 334
117 76 662
215 492 889
134 32 748
62 94 98
345 468 250
278 46 851
458 30 792
86 149 850
168 200 713
271 471 104
105 89 680
120 156 524
9 290 56
257 352 2
207 197 823
458 327 369
309 138 399
303 96 600
17 368 71
153 93 316
29 454 106
438 212 810
292 419 360
115 229 539
484 38 529
383 491 457
283 147 54
383 164 422
455 489 247
467 494 193
284 23 147
242 461 211
405 106 483
117 221 212
156 206 251
38 441 94
495 225 241
49 460 757
71 383 240
116 19 116
263 113 429
327 370 535
310 487 257
22 496 315
125 34 108
220 29 185
71 254 413
169 177 796
262 293 667
378 409 133
307 236 3
343 46 343
452 420 339
119 46 225
227 266 106
413 79 389
59 2 496
472 24 673
121 286 819
140 16 80
273 323 316
129 18 714
324 322 134
163 441 532
240 169 298
346 82 730
236 493 584
232 317 608
257 438 746
428 431 762
8 204 438
176 185 308
242 9 631
229 24 72
261 264 93
60 463 527
142 51 520
226 135 838
285 173 559
400 181 116
190 210 301
498 452 163
481 181 39
406 443 156
499 355 619
27 349 522
399 427 9
237 466 753
218 252 278
277 4 312
393 194 522
47 44 326
62 378 508
101 136 303
257 135 10
228 14 359
102 266 286
111 355 105
217 73 857
307 96 759
181 495 303
8 409 33
368 363 669
171 472 657
33 53 523
392 155 789
30 119 645
487 188 718
196 35 921
409 195 370
168 376 717
324 384 127
357 252 342
379 275 814
36 308 867
59 52 375
201 435 346
346 422 534
416 119 921
190 380 116
60 49 993
129 225 229
108 434 334
450 313 961
265 349 770
484 261 174
359 462 461
57 160 736
443 428 855
365 118 587
481 178 636
326 160 713
56 268 148
242 219 961
203 336 163
325 320 276
352 32 738
313 89 250
49 385 178
256 250 797
332 410 987
46 318 756
194 60 827
155 115 663
170 293 483
36 310 309
286 360 194
317 468 296
114 312 379
133 43 459
389 237 371
68 244 487
231 415 280
66 361 277
434 398 587
95 36 947
141 353 268
437 319 80
316 465 77
458 98 972
417 339 209
289 407 806
128 138 573
408 56 434
37 342 184
124 437 721
424 78 926
192 15 598
272 184 563
202 142 161
236 200 759
467 88 805
253 125 148
438 102 937
11 26 16
437 218 383
35 342 67
450 44 561
111 71 621
463 159 673
74 53 854
323 372 794
129 125 420
129 63 22
66 426 548
434 216 618
237 54 357
299 17 428
445 55 844
151 231 216
446 360 341
218 341 757
140 342 899
258 12 503
427 400 926
207 24 407
146 470 815
490 473 46
58 419 258
252 137 599
361 229 358
44 221 200
296 331 564
151 402 166
60 329 918
486 37 443
246 35 765
421 40 147
20 401 377
378 298 450
431 446 282
347 97 536
13 9 865
284 347 754
227 445 642
492 210 20
230 21 160
240 314 454
469 45 252
419 328 698
53 175 647
89 41 8
307 325 356
61 52 153
55 396 864
427 478 237
289 311 346
95 280 743
348 51 571
398 105 747
46 194 788
406 1 965
262 415 369
416 470 765
132 398 243
369 338 666
401 127 477
100 222 109
343 422 661
415 173 118
14 71 312
154 477 166
119 240 81
488 8 403
105 492 153
200 361 491
367 115 470
196 215 545
306 410 319
319 177 492
437 43 63
101 197 41
267 168 133
200 8 493
456 113 985
109 166 846
453 385 313
423 81 380
320 239 791
140 410 820
132 347 864
48 449 413
89 68 82
222 121 942
200 186 74
398 139 959
212 415 892
235 227 894
56 212 742
272 260 543
185 349 463
119 423 584
62 138 661
322 190 200
396 88 339
207 152 606
451 97 194
435 332 421
330 240 133
424 364 393
319 402 242
282 21 517
219 435 655
380 257 697
80 5 138
272 64 290
230 16 239
424 451 72
346 133 664
331 57 529
319 11 804
337 230 592
344 110 201
42 43 707
32 167 771
62 322 591
486 20 576
150 351 634
31 428 362
462 248 873
119 437 103
211 281 66
412 175 609
471 207 128
243 382 525
382 296 699
325 282 719
402 284 71
388 168 499
250 130 599
124 101 536
79 164 670
145 77 345
106 48 53
234 143 787
260 378 83
311 55 717
31 309 1
454 49 169
453 300 652
405 276 605
441 355 270
111 353 199
309 459 99
214 46 743
1 158 473
84 469 880
153 0 542
154 454 91
407 422 580
106 83 391
206 297 289
301 298 447
126 234 917
358 239 769
400 245 76
235 453 205
482 350 937
414 457 520
305 15 669
95 168 819
163 4 144
285 405 390
401 132 617
106 239 560
473 221 410
411 135 719
283 293 234
453 240 402
124 134 48
30 298 53
174 83 310
64 296 207
228 49 691
345 155 931
257 128 4
167 391 492
387 27 137
473 332 877
228 456 863
276 486 13
181 161 448
491 77 596
50 305 145
381 427 24
225 166 403
362 139 735
239 367 544
455 496 530
468 29 543
417 373 621
365 275 426
11 369 281
163 246 40
444 480 819
321 205 985
224 68 477
312 159 696
356 114 44
282 204 299
403 69 426
181 80 648
462 244 246
355 40 226
174 213 784
12 438 704
37 458 830
434 196 265
360 478 321
11 233 890
437 267 471
437 81 67
184 436 959
262 463 173
46 475 463
250 168 565
466 205 23
148 139 71
413 351 550
234 362 135
476 152 254
299 89 836
366 125 624
178 388 439
351 286 266
314 389 934
231 355 140
106 3 631
177 268 335
79 354 197
215 330 701
321 482 791
9 200 768
134 378 156
73 81 795
340 395 684
274 478 391
266 84 746
250 262 14
85 341 220
134 408 902
479 91 585
247 225 315
256 151 897
51 343 144
478 88 707
224 338 821
310 409 923
449 224 597
386 324 674
201 80 325
450 131 520
95 218 490
129 420 268
451 10 43
466 172 952
389 236 50
247 185 126
344 423 950
18 477 30
196 427 513
216 374 731
58 444 427
136 74 699
256 377 561
299 343 233
104 84 970
154 183 7
280 27 931
231 398 408
113 446 687
127 14 562
358 73 358
189 318 13
103 469 208
336 73 293
158 227 328
18 360 208
301 91 606
61 204 904
248 183 918
162 394 843
21 384 405
157 73 575
379 365 470
24 375 197
353 393 57
423 356 92
193 18 486
37 391 370
442 49 796
369 72 324
413 451 189
235 328 417
433 181 662
342 242 209
104 36 172
196 229 543
53 60 187
201 429 259
26 195 63
215 430 891
484 215 72
356 457 131
172 61 167
197 257 248
240 440 867
378 346 427
66 47 209
325 73 256
388 141 38
131 477 106
55 124 868
73 332 325
204 5 886
223 54 643
472 146 436
339 24 282
118 90 681
287 8 600
284 195 702
152 121 34
477 325 891
215 49 445
358 21 943
146 212 968
428 182 58
462 362 826
69 1 687
169 179 827
98 315 374
152 467 495
187 296 673
430 363 722
228 222 595
139 149 841
50 463 555
228 32 909
415 53 588
469 156 223
316 195 372
489 125 735
63 205 309
158 377 530
169 368 31
363 270 494
327 266 783
268 361 286
172 182 442
247 350 989
119 340 115
16 266 901
398 435 770
429 298 392
275 69 891
5 396 10
288 16 223
427 188 905
221 288 607
211 407 947
178 114 703
350 483 469
374 163 55
266 438 624
20 84 889
243 363 929
0 85 717
107 296 977
462 324 426
283 428 160
39 302 675
446 69 113
70 79 409
295 99 346
36 194 209
317 46 794
387 5 442
364 412 916
159 226 593
438 9 21
98 401 676
273 347 245
238 418 324
0 65 275
346 101 321
202 305 724
144 21 989
413 181 215
358 119 577
231 69 478
407 194 325
152 284 95
328 284 160
455 482 113
276 390 532
495 444 189
72 440 711
61 205 244
276 63 863
353 295 784
331 54 330
9 207 614
104 387 751
265 343 85
230 471 827
452 391 64
15 452 621
259 80 685
258 117 886
440 478 945
54 83 185
157 200 880
422 45 670
46 349 913
462 364 365
83 123 298
120 449 584
452 59 53
191 499 32
488 405 615
405 10 949
257 432 994
279 478 343
193 440 707
410 376 682
208 496 483
292 301 542
346 492 541
230 332 799
197 358 714
364 263 724
313 372 656
308 152 987
3 197 779
63 107 655
97 168 652
81 312 453
123 10 297
17 240 481
316 437 839
382 153 955
106 467 827
114 127 831
453 482 528
233 45 988
388 143 508
392 224 320
197 347 183
494 216 423
476 32 713
167 414 366
474 372 685
366 25 692
354 266 835
214 10 911
386 208 111
69 54 327
345 382 360
424 376 499
110 178 338
274 16 130
421 382 8
466 88 274
153 302 636
65 188 844
176 110 899
3 455 281
342 289 560
193 251 590
383 378 458
365 151 340
373 117 928
499 271 82
136 188 123
332 364 233
231 219 540
365 435 405
400 129 194
312 174 298
403 57 28
361 274 679
54 148 297
417 135 608
392 468 324
125 51 543
165 416 330
422 317 311
116 129 985
266 384 394
294 98 669
474 4 169
123 338 168
395 107 656
222 493 444
405 415 113
216 384 94
54 150 331
300 297 281
469 271 285
490 246 975
11 493 83
167 348 434
143 27 911
170 101 404
114 6 672
79 223 556
26 129 706
357 429 503
138 251 626
275 241 724
250 252 569
185 419 417
120 62 296
287 199 756
459 131 979
367 157 108
429 4 289
408 279 882
484 381 487
54 67 406
120 70 906
274 21 588
106 388 745
66 314 611
456 96 467
97 4 246
319 394 47
77 70 586
156 60 569
466 186 90
406 292 979
152 211 645
115 19 241
83 117 97
181 449 938
161 120 684
60 197 754
498 448 444
358 456 856
428 422 43
370 329 687
349 333 898
495 448 918
88 383 387
186 417 188
124 430 808
160 343 5
415 341 953
211 52 910
463 350 513
150 52 198
49 399 999
319 339 382
58 25 299
246 1 730
54 162 73
411 429 266
217 140 170
479 60 2
163 375 853
29 26 757
227 427 8
226 98 847
461 156 373
112 402 226
194 308 388
119 219 317
386 436 810
408 415 722
411 431 98
116 460 624
373 39 903
233 118 501
80 79 157
305 43 59
32 238 719
272 357 438
90 95 227
252 4 994
474 415 777
424 31 89
303 489 599
304 421 530
313 79 573
224 111 811
443 235 669
461 429 620
307 256 535
85 180 66
174 81 674
303 236 663
402 393 937
432 206 516
358 283 979
190 460 392
455 273 821
75 81 429
463 166 610
381 340 43
56 496 631
71 250 524
8 35 583
24 393 866
3 414 92
462 60 30
135 487 611
27 184 822
422 92 318
53 163 420
78 172 307
13 196 200
379 52 615
323 122 572
228 84 484
259 219 323
222 284 626
352 163 162
174 85 254
344 139 917
424 82 990
476 461 542
443 284 164
15 365 248
499 476 967
301 402 267
463 76 205
217 272 844
486 241 413
428 165 847
418 493 308
312 289 944
76 156 637
43 331 336
499 132 238
119 95 167
324 164 791
20 150 532
285 430 49
132 200 543
440 12 684
236 488 988
398 64 644
35 460 327
371 311 959
462 282 54
481 106 570
272 478 721
157 263 3
206 395 704
101 187 716
285 424 557
126 322 473
122 357 433
450 81 597
409 395 879
316 376 486
386 148 964
459 305 80
463 364 975
19 317 15
235 103 439
144 81 113
51 153 755
148 415 650
380 231 526
366 469 527
182 429 832
114 244 548
90 263 866
457 350 821
248 495 402
361 113 957
35 16 111
291 17 878
320 115 930
347 149 211
31 264 455
80 206 718
298 163 421
119 411 416
373 124 881
330 11 897
293 154 766
171 448 663
132 120 130
415 319 780
126 202 44
434 134 602
4 432 117
425 403 380
341 276 504
238 424 822
254 408 942
384 175 113
16 154 815
412 88 950
14 92 734
131 18 638
11 211 766
367 286 373
235 258 626
109 348 402
431 454 662
225 339 338
5 268 432
455 134 376
190 266 246
180 129 458
446 349 596
150 193 54
52 476 509
66 201 700
248 396 675
180 204 162
57 246 280
303 426 409
113 224 758
209 396 194
267 46 239
174 450 715
183 17 268
235 273 11
142 22 760
170 54 464
464 267 988
373 232 564
484 294 961
30 61 859
270 235 310
337 270 679
458 357 952
469 0 826
45 206 344
107 170 963
447 395 696
12 379 842
473 410 255
184 32 991
25 179 471
330 1 323
156 82 845
37 480 903
234 87 73
197 35 468
393 399 200
87 372 462
343 408 494
334 255 67
299 132 99
122 462 600
445 471 34
142 8 514
45 242 954
118 292 341
439 185 240
139 125 964
101 468 372
447 154 127
14 453 260
113 76 74
452 16 554
272 32 940
113 323 478
205 314 103
169 267 423
42 66 77
21 80 30
281 46 458
356 463 332
401 267 848
307 86 261
308 358 645
100 324 468
430 29 634
385 51 901
308 93 467
385 466 400
268 248 798
78 456 613
410 209 881
110 369 467
372 177 325
369 129 501
190 412 883
324 297 434
226 458 879
45 195 345
445 315 445
95 394 901
209 304 463
90 415 332
57 139 861
234 8 342
471 375 404
405 453 862
136 350 409
481 296 725
279 391 619
32 452 775
495 42 42
327 99 33
383 422 944
137 393 671
41 150 124
255 286 827
165 119 123
390 398 866
488 426 713
31 106 813
64 146 999
310 381 773
255 371 666
403 20 454
230 185 573
205 427 324
94 128 533
308 11 139
473 428 638
324 238 371
97 345 242
115 272 655
283 27 527
14 166 491
338 89 631
445 36 111
479 196 623
470 169 903
460 345 641
332 442 839
426 57 111
433 192 990
460 281 951
172 147 117
15 486 706
146 283 94
258 262 290
233 85 811
136 397 656
129 81 598
468 8 7
273 402 184
224 426 332
341 442 170
400 440 953
494 50 568
137 283 153
448 271 402
105 253 984
55 73 492
466 130 539
335 400 260
5 300 552
458 147 103
26 284 238
31 84 510
434 41 615
270 449 688
262 364 897
399 182 880
257 20 487
17 377 640
69 336 787
24 214 923
263 98 507
125 32 901
240 302 350
280 416 214
30 167 248
410 106 934
497 363 306
336 232 184
476 154 872
115 178 586
38 293 184
398 418 68
299 158 222
1 291 490
67 321 158
315 231 764
101 80 480
408 268 564
316 360 249
254 251 894
439 149 313
359 300 823
72 368 787
82 35 370
347 137 802
179 397 571
243 341 316
314 157 528
415 411 131
309 202 632
474 414 932
298 348 85
264 272 305
52 355 193
274 54 330
77 233 727
0 328 568
168 494 77
196 409 840
328 71 395
312 45 809
245 343 9
182 460 781
340 364 636
33 138 690
215 67 423
442 67 104
362 235 598
291 284 508
483 464 431
378 276 976
48 408 632
182 248 996
318 133 486
9 348 906
284 142 473
388 356 561
339 499 697
199 482 13
130 213 789
458 104 15
482 5 423
114 187 23
462 5 656
301 366 356
207 3 850
32 243 706
445 82 705
142 281 39
155 411 752
297 222 709
87 171 753
110 485 258
118 286 477
474 345 480
324 378 723
382 175 158
439 318 939
478 325 203
83 474 925
144 286 481
210 373 152
463 335 638
221 453 776
50 427 122
382 103 852
458 337 527
116 276 197
407 107 523
110 42 997
387 186 636
369 396 861
373 211 697
363 284 150
140 335 930
262 217 885
141 143 851
339 51 958
214 13 852
63 253 890
199 474 638
413 347 849
112 351 969
42 465 538
165 477 126
17 41 879
408 92 205
248 115 615
382 80 818
351 474 283
241 254 862
307 257 787
369 464 550
481 129 28
459 498 921
190 406 513
448 53 486
415 287 66
234 138 41
17 231 295
232 39 905
19 408 369
69 241 350
449 201 348
370 391 607
403 87 669
241 2 456
308 88 446
349 106 177
496 338 216
401 357 476
122 278 718
173 98 162
280 334 801
44 89 240
65 331 95
21 139 183
467 340 789
144 188 479
41 64 967
259 389 47
30 62 145
45 342 480
198 238 421
439 303 752
34 176 243
217 143 935
359 139 124
338 352 418
379 394 482
346 5 371
393 388 785
390 433 979
222 131 717
144 422 372
396 456 48
492 26 543
427 237 683
321 454 133
156 152 639
379 397 379
165 288 164
144 362 147
214 6 570
487 247 904
30 26 141
65 430 69
453 103 375
86 111 28
456 8 65
190 9 41
68 496 640
473 378 667
466 444 949
35 397 904
411 335 16
291 265 359
68 73 367
486 46 723
266 166 794
52 356 303
446 424 651
86 249 29
105 216 825
406 251 74
311 14 262
327 157 27
38 78 100
257 64 646
480 182 812
274 86 520
429 32 297
80 471 46
462 428 262
139 335 366
214 146 380
476 325 38
355 363 116
455 120 32
454 452 566
118 79 652
139 8 37
288 441 360
97 394 123
315 460 121
195 288 946
85 143 661
53 451 633
437 257 586
3 375 665
8 366 525
45 154 466
405 489 221
45 438 968
169 105 780
290 300 569
89 238 64
102 143 15
236 81 772
174 436 500
339 444 366
216 341 373
183 98 214
256 144 504
76 313 609
357 455 261
426 396 499
342 499 495
210 87 928
482 261 364
334 452 161
53 168 354
426 203 953
492 312 597
496 388 762
105 245 569
366 23 966
218 366 317
493 410 17
209 245 321
222 298 341
77 76 897
382 68 209
479 64 597
93 21 195
162 239 218
480 309 436
149 374 512
405 219 275
274 281 520
95 3 670
186 314 666
247 145 582
344 238 455
39 253 194
110 233 356
46 383 82
411 288 302
186 63 83
58 10 938
228 151 871
178 337 185
344 436 183
278 281 921
233 172 674
279 134 760
135 181 143
218 444 783
455 188 209
393 268 360
116 446 50
154 142 486
258 5 644
285 284 778
45 272 811
40 490 255
323 362 385
83 62 45
295 179 343
345 333 337
184 170 609
303 280 614
78 314 523
241 354 513
497 30 875
234 404 44
12 339 606
253 332 118
90 16 140
200 171 421
417 401 5
305 491 741
32 226 997
428 90 836
35 499 323
172 252 155
135 43 46
408 61 369
104 123 617
315 429 608
57 313 686
406 94 628
95 481 128
418 153 880
425 148 223
300 284 118
198 192 532
68 291 11
42 247 134
120 472 81
158 378 175
287 473 8
415 243 661
147 20 662
371 172 798
341 371 842
373 291 486
236 333 733
223 345 796
490 465 768
423 123 999
450 262 324
458 29 68
472 177 440
134 400 613
284 241 336
126 467 627
464 55 460
198 130 805
346 121 622
114 347 360
290 305 390
210 277 919
151 263 819
116 47 912
452 26 731
79 342 287
391 40 769
171 206 787
269 172 986
224 173 921
143 324 684
462 292 584
226 96 462
458 175 156
97 418 697
366 467 288
109 139 994
248 408 166
234 390 128
377 114 301
298 109 477
335 423 269
271 150 365
85 460 392
241 409 163
290 275 130
78 236 621
72 336 882
90 422 624
219 300 591
20 450 700
350 137 124
119 260 126
337 345 86
81 439 347
244 81 974
227 12 211
230 175 970
298 266 424
498 116 62
474 88 822
100 277 520
38 358 311
212 182 904
423 30 341
322 113 368
144 320 114
266 118 232
43 468 201
105 443 289
279 395 566
151 286 776
462 23 731
207 235 913
111 10 296
304 333 409
172 329 229
138 448 699
371 491 167
424 448 110
213 227 358
131 379 644
259 193 667
491 400 755
256 12 765
52 168 950
313 193 280
394 331 80
261 478 371
433 26 477
77 286 523
97 129 423
352 237 787
469 290 956
420 455 649
52 350 332
132 443 887
55 56 217
426 132 261
376 65 639
206 143 425
229 240 406
152 444 144
440 413 286
248 185 241
397 237 591
81 221 387
468 128 443
299 283 141
438 489 136
216 218 228
474 222 172
118 14 437
256 262 623
498 11 360
441 93 82
328 413 562
272 451 469
199 102 252
340 393 741
476 109 811
204 83 885
228 54 400
289 160 26
1 102 471
435 282 884
219 446 535
312 275 996
475 331 432
360 412 986
112 430 648
127 219 309
153 72 263
124 8 545
360 358 952
400 325 58
43 396 356
78 208 983
75 35 167
7 247 431
345 360 861
6 492 504
269 468 512
167 180 370
471 433 547
381 476 943
89 406 3
425 333 890
23 37 850
384 383 689
316 389 33
172 11 353
185 30 885
407 1 818
307 382 794
102 471 53
106 248 886
348 340 79
338 215 968
188 451 203
229 119 445
467 329 986
353 88 839
171 395 221
318 498 544
371 456 145
109 156 485
188 495 53
9 183 4
212 413 476
465 495 597
142 371 933
215 189 783
112 412 739
257 22 747
4 136 691
480 145 70
100 111 565
49 414 765
86 409 489
19 476 178
302 88 943
393 197 965
141 292 27
235 291 451
127 79 695
44 128 962
162 215 723
151 234 199
329 389 288
272 134 485
469 363 421
420 376 216
359 433 196
443 60 275
491 456 404
305 118 471
28 269 57
227 451 298
15 75 933
353 165 412
482 134 275
403 406 4
472 265 289
168 60 201
295 403 657
51 208 776
22 236 45
80 464 996
378 331 572
163 184 89
203 422 481
59 394 598
348 414 658
49 210 62
207 261 122
335 284 859
380 216 175
153 258 543
242 334 710
317 389 984
298 449 879
396 297 293
406 199 855
320 258 617
443 93 753
154 325 969
329 54 563
335 59 173
378 301 859
440 470 249
277 268 50
156 16 199
301 423 898
157 95 156
126 38 101
379 44 427
200 373 481
115 61 893
289 291 694
0 84 165
101 361 785
151 17 802
351 170 577
249 327 172
258 305 63
286 236 481
120 352 894
13 141 185
59 493 769
76 95 630
362 246 999
16 97 170
93 199 349
117 457 155
180 168 691
140 455 928
473 427 132
367 292 125
52 351 118
174 428 713
304 142 960
156 158 409
326 103 608
27 220 417
34 253 586
226 245 893
6 218 172
490 437 964
115 341 315
233 15 95
447 172 737
407 328 747
168 6 702
277 33 775
46 68 28
132 146 625
377 4 343
49 494 780
13 109 473
181 342 489
128 289 161
218 48 841
465 217 347
168 346 732
443 392 800
323 377 298
300 106 802
143 156 148
275 21 757
248 202 452
89 331 593
102 49 494
295 366 563
142 386 409
227 181 153
379 356 382
332 151 497
481 278 518
90 379 721
42 468 904
488 423 453
482 218 171
397 213 58
306 440 591
311 319 448
46 497 604
35 182 108
32 163 386
50 253 265
123 148 586
27 488 509
332 322 227
356 219 440
414 25 232
305 86 901
262 121 583
370 5 246
256 408 352
374 383 352
460 263 840
321 95 662
400 451 381
193 217 758
425 75 298
329 380 385
231 142 358
314 364 716
117 347 859
469 159 622
161 480 70
175 232 373
408 425 943
18 351 370
168 32 750
405 263 745
264 430 109
332 343 582
19 281 940
494 294 920
416 321 653
141 81 930
84 451 633
454 119 166
57 25 429
263 325 202
198 133 14
479 4 147
420 498 793
192 266 614
197 408 47
128 492 498
427 356 495
357 362 488
68 477 313
123 175 298
489 7 302
137 279 653
430 471 771
397 21 679
444 149 24
295 262 823
265 190 531
260 399 893
100 319 370
413 442 898
63 432 257
365 421 36
370 203 859
142 100 380
173 397 881
197 192 644
372 457 186
255 69 937
0 169 256
223 434 699
121 497 983
378 214 904
414 437 959
125 431 60
6 104 309
387 302 853
31 26 310
69 282 231
6 282 752
263 357 186
314 478 535
297 208 101
12 100 321
424 458 426
85 345 580
438 229 606
248 298 740
331 157 875
83 420 732
121 234 211
8 383 271
110 288 246
0 152 698
322 429 656
100 14 353
180 453 82
286 53 733
27 385 890
402 320 162
486 442 248
321 412 771
419 413 775
117 87 204
125 187 719
478 367 524
413 5 929
498 384 166
240 138 987
402 125 281
150 174 583
133 495 996
404 266 761
179 235 848
236 360 387
307 191 606
183 456 111
112 454 996
131 194 134
470 448 611
251 98 286
334 83 133
182 487 400
443 18 135
143 106 348
136 96 347
100 209 653
82 162 795
194 413 745
332 99 828
465 282 167
217 77 537
205 221 144
53 103 57
296 92 154
143 192 715
148 140 907
495 74 69
239 452 433
419 418 567
86 135 997
475 192 218
119 97 321
29 393 913
183 388 457
250 36 597
9 383 172
78 25 792
264 116 745
49 35 515
117 473 502
114 449 195
184 420 292
357 449 186
123 484 926
80 234 463
178 243 346
346 437 340
443 487 728
458 456 53
461 422 502
8 106 275
300 463 724
338 86 709
265 19 295
80 49 391
426 251 416
2 97 854
195 41 193
423 351 1
331 172 529
106 325 844
243 132 802
39 212 851
282 491 454
198 493 403
52 188 444
97 463 148
98 292 312
21 475 485
402 433 662
99 115 677
382 359 810
387 32 513
193 230 507
96 135 547
393 84 11
41 183 303
353 56 278
190 311 211
352 410 178
382 144 889
66 419 523
432 112 606
291 208 741
338 101 825
349 494 860
4 348 769
134 390 80
197 243 990
376 477 634
117 169 166
257 87 85
132 19 549
238 310 609
331 149 711
9 350 705
369 207 905
138 341 796
70 391 391
46 236 889
212 345 476
297 478 348
346 68 658
456 400 659
19 409 10
76 130 717
482 191 301
373 104 272
93 150 509
334 363 354
310 12 684
10 211 105
169 19 5
328 390 266
190 466 748
407 152 221
170 134 765
323 359 369
96 452 371
105 138 586
311 301 99
348 311 162
453 480 681
310 161 71
76 351 389
176 259 542
250 281 28
15 104 888
459 157 831
46 321 632
497 169 943
159 474 776
340 284 437
263 212 288
152 388 399
46 138 180
75 5 637
315 241 689
7 201 199
322 96 41
118 255 515
394 447 651
183 62 363
223 113 94
255 188 99
392 3 193
434 362 746
133 53 345
5 375 793
413 91 347
416 274 909
279 98 975
382 173 88
328 428 628
121 107 198
64 97 978
357 347 324
257 260 767
456 28 42
217 307 492
192 41 165
133 370 945
113 150 118
449 271 77
147 490 669
398 54 118
228 263 465
52 372 577
172 328 105
214 45 764
58 89 658
75 74 528
20 40 178
139 489 801
216 136 143
322 19 184
251 191 364
357 257 909
473 315 850
131 242 277
159 262 817
189 401 306
342 470 294
485 356 680
34 64 146
234 490 708
98 199 965
359 172 632
210 304 874
487 315 637
462 199 860
256 37 68
436 71 133
82 122 223
100 356 213
308 455 912
274 314 437
258 376 741
485 215 408
122 371 265
364 333 465
77 441 854
145 377 277
130 312 899
354 264 256
419 72 63
184 198 229
121 457 958
214 294 173
122 268 45
388 132 230
205 209 672
59 207 401
336 337 565
88 43 829
196 463 254
340 120 761
298 186 55
472 308 323
369 48 308
451 253 517
475 164 76
377 353 766
294 441 809
476 137 124
230 248 975
182 88 95
296 387 281
203 211 942
27 80 990
187 383 596
56 359 612
133 88 965
399 382 258
60 358 395
37 88 495
12 123 84
93 474 534
35 353 966
378 40 349
326 97 708
256 481 531
14 393 741
262 430 330
257 295 805
193 255 928
16 200 402
16 466 148
75 190 512
458 205 906
199 467 688
381 76 483
38 270 90
466 286 791
221 189 231
329 205 697
427 54 627
119 439 523
377 490 342
401 262 40
343 229 179
486 450 868
266 460 201
459 387 255
87 346 736
280 194 17
474 111 241
244 364 4
137 208 233
316 194 35
184 412 666
109 178 626
417 77 712
32 114 75
291 184 551
415 321 717
433 283 748
60 445 738
426 363 315
490 368 149
19 401 763
94 303 203
132 94 387
35 242 709
146 474 698
452 242 872
21 175 655
121 87 600
174 355 832
323 226 85
86 172 388
141 305 334
29 192 928
90 339 403
288 143 145
160 16 172
167 138 760
268 497 477
83 24 333
352 286 84
92 427 241
427 308 433
355 398 624
110 39 619
107 51 136
392 339 475
369 422 999
54 190 699
466 394 985
402 487 764
143 266 73
76 121 323
53 84 214
172 191 266
160 471 837
262 85 302
113 491 992
312 309 739
414 354 844
487 283 817
162 188 901
377 360 593
495 21 416
332 159 132
212 421 217
14 387 60
359 199 370
98 349 581
176 263 288
20 102 923
337 264 111
91 141 823
184 136 196
100 320 856
84 384 629
153 399 516
214 258 216
84 208 65
17 384 180
80 445 46
43 36 40
367 72 528
63 25 701
271 109 85
401 115 984
417 329 94
485 265 802
402 282 38
82 292 294
216 372 92
263 268 980
155 487 553
183 402 930
236 174 891
322 75 6
158 344 335
253 182 952
446 19 379
184 350 371
165 5 710
70 41 613
352 277 639
243 451 66
102 462 410
289 215 592
242 474 29
329 420 548
208 13 783
311 197 134
35 214 991
245 136 884
210 340 514
349 436 965
178 327 494
122 69 469
151 398 241
51 458 754
321 157 370
164 402 359
49 465 699
63 314 635
380 82 173
160 260 1
6 234 422
475 238 173
69 289 631
323 476 901
479 149 410
350 314 813
61 215 130
260 130 944
248 10 26
273 22 138
126 29 873
49 356 963
222 425 252
353 101 581
107 80 730
182 343 463
312 456 93
109 204 956
487 477 330
351 5 216
314 227 141
418 432 242
82 409 457
478 443 653
294 256 609
239 217 665
47 204 994
378 330 598
305 347 182
447 118 615
41 117 506
68 199 915
378 30 359
31 176 967
492 415 684
157 463 240
151 341 71
102 430 456
57 236 304
240 35 274
207 428 891
213 497 943
481 375 825
340 258 1
159 102 268
195 111 231
435 262 924
6 216 355
463 274 91
119 366 626
393 73 906
136 138 903
431 119 130
256 311 240
109 470 842
378 165 305
461 101 920
241 274 762
184 245 480
162 490 405
68 479 44
324 410 663
306 19 327
399 128 297
93 358 315
455 299 354
70 335 951
50 497 942
456 417 273
352 93 183
15 400 202
342 151 683
492 244 541
307 143 713
75 462 771
154 418 422
360 340 757
312 390 106
379 50 469
414 418 221
117 112 872
152 104 617
193 263 760
259 190 575
453 205 185
62 369 575
169 327 274
397 206 676
218 121 94
164 242 663
281 287 427
394 46 117
469 429 314
166 234 372
351 296 241
52 214 627
229 433 248
323 225 690
46 23 572
325 269 970
442 90 899
109 256 133
143 290 666
123 371 451
223 194 528
414 429 417
198 327 792
270 152 413
241 446 855
126 36 70
408 111 308
377 229 469
328 305 515
270 188 775
